minimum lower-hinge median upper-hinge maximum mean sd missingRate isNumeric CaseOnly
casectrl 0 0 0 1 1 0.382716049382716 0.487053068737018 0 1 0
id 1 581382700 1485005700 1618895300 9.99e+11 6160116546.2716 64590039839.2741 0 1 0
sex 0 0 1 1 1 0.559670781893004 0.497451246261618 0 1 0
age 20 44 53 60 81 52.1481481481481 11.4640412780242 0 1 0
height 143 160 166 172 187 166.082304526749 8.08691267732513 0 1 0
weight 38.4 58.9 67.5 75.9 114.9 67.9300411522634 12.4048628660527 0 1 0
HRREST 12 75 85 93 128 84.6551724137931 13.716109559274 0.0452674897119342 1 0
SBPREST 3 114 125 138 191 126.110429447853 20.4387087772467 0.329218106995885 1 0
DBPREST 40 72 79 87 119 78.7818181818182 12.1890958503766 0.320987654320988 1 0
HRAT 1.22 104 115 127 216 116.390917431193 21.9256319937408 0.102880658436214 1 0
SBPAT 99 127 139 155.5 215 142.683823529412 23.2782531500277 0.440329218106996 1 0
DBPAT 43 71 79 86 123 78.5985294117647 12.9230313224913 0.440329218106996 1 0
HRVMAX 31 125 144 158 193 139.694214876033 27.9383859658512 0.00411522633744854 1 0
SBPVMAX 101 142 165 191 247 166.990291262136 30.6839101860404 0.152263374485597 1 0
DBPVMAX 37 73 82 91 123 81.7004830917874 14.0918329910286 0.148148148148148 1 0
HRRecovery 3 18 24 31 59 24.9065420560748 9.74513983623634 0.119341563786008 1 0
VEVCO2slope -14.904 24.581 27.352 30.452 44.366 27.396811814346 5.62577062561772 0.0246913580246914 1 0
BRVMAX 4.6 42.25 52.9 65.3 95.3 53.0417040358744 19.9708844549261 0.0823045267489712 1 0
VO2W -24.78472222 8.261538462 9.586956522 11.01754386 36.61616162 9.87424324651174 4.14002148246717 0.123456790123457 1 0
VO2HRVMAX 2 7 9 11 84 9.75684647302905 6.18092199275302 0.00823045267489708 1 0
VEVO2MAX 22 32 36 39 56 35.7217391304348 5.82052958482363 0.0534979423868313 1 0
OUES 199.019 1184.339 1534.597 1854.123 4380.838 1556.92186919831 579.330407509163 0.0246913580246914 1 0
VO2KGVMAXP 8 54.5 69 82.5 142 67.3374485596708 25.4879917616466 0 1 0
VO2KGATVMAX 8.8 55.65 63.775 71.73 1344.83 69.749128440367 87.6162654221121 0.102880658436214 1 0
WeberGrading 1 1 1 2 4 1.77366255144033 1.00935999755597 0 1 0
mREE 457.9164878 1633.197647 1957.6915385 2418.677355 5522.929548 2112.30701843491 753.122133837831 0.0452674897119342 1 0
cREE 1033.678 1278.959 1414.595 1590.28 2226.07 1452.45474074074 232.033669615391 0 1 0
REEp 0.33 1.165 1.395 1.64 3.08 1.44521551724138 0.421497994552587 0.0452674897119342 1 0
FVC 40 78.7 90 98 125 87.9868421052632 14.4281053012129 0.0617283950617284 1 0
MVV 12 73 88 101 145 86.1951219512195 23.5890256888821 0.156378600823045 1 0
SVC 11 78 88 97 124 86.9103773584906 15.8815665852868 0.127572016460905 1 0
BMI 14.3 22.5 24.4 26.6 36.3 24.5935622317597 3.38068827372248 0.0411522633744856 1 0
IntracellularWater 13.3 18.2 21 25.5 34.7 21.7287553648069 4.43297661102122 0.0411522633744856 1 0
ExtracellularWater 8.5 11.4 13.2 15.5 21.5 13.5682403433476 2.59487639940576 0.0411522633744856 1 0
BodyWater 22 29.6 34 40.9 56.2 35.2969957081545 7.00957716055748 0.0411522633744856 1 0
RAW 0.365 0.378 0.381 0.385 0.401 0.381648068669528 0.00592523156498651 0.0411522633744856 1 0
LAW 0.369 0.378 0.382 0.385 0.402 0.382081545064378 0.00552792699959317 0.0411522633744856 1 0
TKW 0.367 0.38 0.384 0.39 0.407 0.384467811158798 0.00755953627696872 0.0411522633744856 1 0
RLW 0.365 0.38 0.385 0.392 0.42 0.386287553648069 0.00961583955162886 0.0411522633744856 1 0
LLW 0.369 0.3835 0.391 0.395 0.417 0.390396825396825 0.00916786055624209 0.740740740740741 1 1
ECWTBW 0.368 0.38 0.384 0.39 0.407 0.385 0.00737247911328762 0.0411522633744856 1 0
InorganicSalt 2.18 2.87 3.26 3.79 5.32 3.32360515021459 0.624183506925799 0.0411522633744856 1 0
bonesalt 1.76 2.37 2.68 3.11 4.39 2.74832618025751 0.510041610922074 0.0411522633744856 1 0
othersalt -0.09 0.48 0.55 0.67 1.32 0.575278969957081 0.139206601405237 0.0411522633744856 1 0
Protein 5.8 7.9 9.1 11 15 9.39570815450644 1.91814802491715 0.0411522633744856 1 0
FatFreeMass 30.1 40.4 46.3 55.7 76.5 48.0141630901288 9.5347692370776 0.0411522633744856 1 0
SoftLeanMass 28.2 38 43.6 52.7 72.1 45.2669527896996 9.04002487420305 0.0411522633744856 1 0
SkeletalMuscleMass 15.4 21.7 25.3 31.2 43.3 26.3386266094421 5.78287914529748 0.0411522633744856 1 0
SMM 66 90.5 97.6 104.8 130.3 97.3751072961373 10.4709358880693 0.0411522633744856 1 0
RA 1.12 1.98 2.48 3.1 4.44 2.5562660944206 0.719453970101949 0.0411522633744856 1 0
LA 1.01 1.94 2.46 3.1 4.34 2.51772532188841 0.707029648760735 0.0411522633744856 1 0
TK 12.47 17.93 21.15 24.78 32.36 21.4240343347639 4.31653527234943 0.0411522633744856 1 0
RL 4.16 6.11 7.09 8.57 11.89 7.38437768240343 1.62713352614761 0.0411522633744856 1 0
LL 4.09 6.11 7.1 8.57 11.78 7.35991416309013 1.60451410397093 0.0411522633744856 1 0
FatMass 3.7 16 19.6 24 44.3 20.0991416309013 6.22456196642139 0.0411522633744856 1 0
FM 18.6 155.6 199.9 248.3 423.7 202.942918454936 69.4770524884324 0.0411522633744856 1 0
PercentBodyFat 8.7 24.8 29.8 34.4 50.7 29.3763948497854 6.92914887906511 0.0411522633744856 1 0
WaistHipRatio 0.71 0.85 0.88 0.92 0.97 0.881974248927039 0.0472288926351361 0.0411522633744856 1 0
VisceralFatArea 11.7 68.1 91.8 115.9 211.1 95.125321888412 36.3052670611719 0.0411522633744856 1 0
AgeOfOnset 24 43 53 61 75 52.0430107526882 11.1890027322004 0.617283950617284 1 1
SiteOfOnset 1 2 2 2 4 2.12903225806452 0.899586939651519 0.617283950617284 1 1
DelayMonths 4 9 12 19 84 15.5591397849462 12.1829017440083 0.617283950617284 1 1
heightpre 143 160 167 172 183 165.817204301075 7.61426897995544 0.617283950617284 1 1
weightpre 49 56.5 67 75 115 67.7010869565217 12.2850887420054 0.621399176954732 1 1
weightdiagnosis 37 55.5 66 72 110 65.2554347826087 11.8767698658452 0.621399176954732 1 1
BMIpre 0 22.75830678 23.87511478 26.47210744 36.29592223 24.2881376093548 4.23787675086932 0.617283950617284 1 1
BMIdiagnosis 0 21.64412071 23.38435374 25.8585722 34.71783866 23.4042401527957 4.07334758260909 0.617283950617284 1 1
ALSFRSRDiagnosis 28 39 43 45 48 42.1931818181818 4.1656999923581 0.637860082304527 1 1
chWeightPre -0.461538462 0 0 0.357142857 2.857142857 0.247653240139785 0.515996257445219 0.617283950617284 1 1
chBMIPre -0.166617299 0 0 0.153787006 0.965773004 0.0893319658924731 0.1815456643782 0.617283950617284 1 1
chFSPre 0 0.1842588665 0.4063531355 0.6787316955 2.416107382 0.505813090647727 0.469826369061433 0.637860082304527 1 1
UMN 0 3 6 8 12 5.81720430107527 3.54151231685223 0.617283950617284 1 1
LMN 0 2 2 4 8 2.72043010752688 1.68990346648565 0.617283950617284 1 1
TIMET1 8 25 32 36.5 101 31.9701492537313 14.8507424049233 0.724279835390947 1 1
TIMET2 21 21.5 23.5 27 36 25.125 5.08323575238113 0.967078189300412 1 1
SURVIVAL 1 2 2 3 3 2.17204301075269 0.601152080772348 0.617283950617284 1 1
weightafter 40 56 65 75 100 65.4313725490196 12.3016338784095 0.790123456790123 1 1
bmiafter 16.22783886 21.36382694 23.4375 25.711335175 31.56167151 23.4344423190196 3.40471351730201 0.790123456790123 1 1
KCSSAFTER 1 1.5 3 3 4 2.49090909090909 1.10340763886626 0.773662551440329 1 1
ALSFRS.R.AFTER 8 23 32 40 48 30.9298245614035 10.8838997231212 0.765432098765432 1 1
NFL 10.65789438 32.7 70.3 100.45 335 81.7368399214815 69.3484171698235 0.888888888888889 1 1
chWeightafter -0.6875 -0.104166667 0.1081871345 1.827586207 6.5 0.904756606241379 1.53573798533223 0.761316872427984 1 1
chBMIafter -0.265228965 -0.036043829 0.0405731945 0.788714621 2.330668005 0.337197070793103 0.55504759983149 0.761316872427984 1 1
chFSafter 0 0.3266666665 0.5625 1.0868055555 4.8 0.859833571 0.881793619396422 0.724279835390947 1 1
