Simulation	B	(B_variance)^(1/2)	Tvalue
1	0.00195212	0.00486086	0.4016
2	0.00232617	0.00454815	0.511454
3	0.00196314	0.00457688	0.428925
4	-0.000374688	0.00466768	-0.0802729
5	0.00133282	0.00460842	0.289214
6	0.00216963	0.00455211	0.47662
7	0.0017969	0.00473076	0.379833
8	0.00222497	0.00448105	0.49653
9	0.00108669	0.00454986	0.23884
10	0.000569776	0.00518101	0.109974
11	-0.00191804	0.00479492	-0.400014
12	-0.000708542	0.00482618	-0.146812
13	-0.0126244	0.00484275	-2.60687
14	0.00220291	0.00492767	0.447048
15	1.43029e-005	0.00452394	0.0031616
16	0.00137081	0.00419689	0.326626
17	0.00115756	0.00440578	0.262736
18	0.00235537	0.00470727	0.500369
19	0.00230793	0.00479492	0.481328
20	-0.00563943	0.00463924	-1.21559
21	0.00192047	0.00496281	0.386973
22	0.00206129	0.00482727	0.42701
23	0.0022117	0.00460665	0.480111
24	0.00267634	0.00507311	0.527555
25	-0.000484774	0.00482818	-0.100405
26	-2.38453e-005	0.00500957	-0.00475995
27	-0.00575207	0.00483352	-1.19004
28	0.00205335	0.00457803	0.448522
29	-0.00678074	0.0047332	-1.43259
30	-0.00499513	0.00469848	-1.06314
31	-0.00426528	0.00449034	-0.94988
32	0.000856529	0.00443354	0.193193
33	-0.000823747	0.00479603	-0.171756
34	0.00161483	0.00457919	0.352644
35	0.000906709	0.00441091	0.205561
36	0.000626439	0.00494305	0.126731
37	0.00143235	0.00508565	0.281645
38	-0.00449063	0.00510062	-0.880408
39	0.00182172	0.00507131	0.35922
40	0.00085143	0.00455212	0.18704
41	0.00117383	0.00425157	0.276092
42	-0.00905054	0.00473503	-1.9114
43	-0.000314421	0.00407563	-0.0771467
44	0.00237716	0.00470102	0.505669
45	-0.00103806	0.00460685	-0.22533
46	0.000848349	0.00472992	0.179358
47	-0.000849049	0.00480802	-0.17659
48	-0.0159646	0.00432828	-3.68844
49	0.00103328	0.00483133	0.21387
50	0.00207822	0.00463027	0.448833
51	0.00238801	0.00514297	0.464326
52	-0.000744104	0.00480201	-0.154957
53	0.00195543	0.00458767	0.426237
54	0.00150563	0.00521107	0.28893
55	-0.000557795	0.00538502	-0.103583
56	0.000550858	0.00429897	0.128137
57	-0.00482337	0.00466925	-1.03301
58	0.00138453	0.00446173	0.310312
59	0.00228727	0.00461923	0.495163
60	0.00102731	0.00476831	0.215444
61	0.00219487	0.0043018	0.510221
62	0.00235598	0.00470727	0.500497
63	0.00112249	0.00469895	0.238882
64	0.00187	0.00461627	0.405089
65	0.00252768	0.00493365	0.512334
66	-0.00262813	0.00514096	-0.511214
67	0.00230149	0.00476224	0.483279
68	0.00161073	0.00443353	0.363307
69	-0.00206726	0.00486568	-0.424864
70	0.00163685	0.0040523	0.403932
71	-0.00159783	0.00451839	-0.353628
72	-0.00378707	0.00463728	-0.816657
73	-0.0088026	0.00441518	-1.99371
74	0.000654668	0.00503449	0.130037
75	-0.0121028	0.00443578	-2.72844
76	0.000731593	0.00463732	0.157762
77	0.00206841	0.00489644	0.422431
78	-0.0181845	0.00449174	-4.04842
79	0.00050258	0.00493151	0.101912
80	0.000572319	0.00443964	0.128911
81	0.00171127	0.00500087	0.342194
82	-0.00331577	0.00479756	-0.691138
83	0.00240533	0.00496231	0.484719
84	0.0023457	0.00466929	0.502367
85	-0.00597903	0.00424692	-1.40785
86	-0.00313913	0.00486199	-0.645648
87	-0.00578767	0.00463923	-1.24755
88	0.00234405	0.00465905	0.503118
89	0.00246384	0.00518873	0.474845
90	-0.00286482	0.00466766	-0.613759
91	0.00160208	0.00457038	0.350534
92	-0.000225976	0.00461156	-0.0490022
93	-0.00118551	0.00496232	-0.238902
94	0.00261534	0.00496524	0.526729
95	0.000614726	0.00504366	0.121881
96	-0.00426192	0.00452057	-0.942785
97	5.53308e-005	0.00458497	0.0120679
98	0.000644219	0.00460686	0.139839
99	-0.005116	0.00460836	-1.11016
100	0.00195795	0.00435188	0.449909
101	0.00156433	0.00486362	0.32164
102	0.00212188	0.00470102	0.451365
103	-0.00090169	0.00490681	-0.183763
104	0.00135761	0.00445089	0.30502
105	0.00213599	0.00496964	0.429807
106	0.00208334	0.00486568	0.428169
107	-0.0039416	0.00504831	-0.780777
108	0.000674837	0.00533865	0.126406
109	0.000558302	0.00486018	0.114873
110	0.00224306	0.00470269	0.476974
111	-0.00583619	0.00424693	-1.37421
112	0.00236335	0.00443492	0.532897
113	-0.00656265	0.00460969	-1.42366
114	-0.00146891	0.00503449	-0.291769
115	0.00077417	0.00503297	0.15382
116	0.00225418	0.00470269	0.47934
117	-4.86341e-005	0.00464091	-0.0104794
118	-9.46475e-005	0.00457919	-0.020669
119	0.00219664	0.00476077	0.461404
120	0.00236579	0.00496378	0.476611
121	-0.000965065	0.00524157	-0.184118
122	-0.000166507	0.00487471	-0.0341573
123	0.00241775	0.0046393	0.521145
124	-0.00591688	0.00492856	-1.20053
125	0.00165139	0.00437846	0.377163
126	-0.000893628	0.00460685	-0.193978
127	-0.00150818	0.00435254	-0.346506
