Simulation	B	(B_variance)^(1/2)	Tvalue
1	-0.00051597	0.00486087	-0.106148
2	-0.00123224	0.00454816	-0.270932
3	-0.00153186	0.00457689	-0.334695
4	0.00044078	0.00466768	0.0944325
5	-0.000355251	0.00460842	-0.0770873
6	-0.00112964	0.00455212	-0.248157
7	-0.00118519	0.00473076	-0.250528
8	-0.00102202	0.00448106	-0.228075
9	-0.000519893	0.00454986	-0.114266
10	-0.000408767	0.00518101	-0.0788972
11	9.21296e-005	0.00479493	0.019214
12	0.000732799	0.00482618	0.151838
13	0.00638443	0.00484302	1.31827
14	-0.00132715	0.00492768	-0.269326
15	0.000151282	0.00452394	0.0334404
16	-0.00081096	0.00419689	-0.193229
17	-0.000611619	0.00440579	-0.138822
18	-0.00106995	0.00470728	-0.227297
19	-0.000554805	0.00479493	-0.115707
20	0.00323078	0.00463929	0.696395
21	-0.00112263	0.00496281	-0.226209
22	-0.00131241	0.00482728	-0.271873
23	-0.00100312	0.00460666	-0.217754
24	-0.00121543	0.00507312	-0.239582
25	1.63576e-005	0.00482818	0.00338794
26	-0.000462769	0.00500957	-0.092377
27	0.00335376	0.00483357	0.693848
28	-0.000877334	0.00457804	-0.19164
29	0.0030681	0.00473329	0.648196
30	0.00225749	0.00469853	0.480468
31	0.00199583	0.00449038	0.444469
32	-0.000330347	0.00443354	-0.074511
33	0.000883155	0.00479603	0.184143
34	-0.000578792	0.00457919	-0.126396
35	-0.000100718	0.00441091	-0.0228338
36	-0.000444809	0.00494305	-0.0899868
37	-0.00125685	0.00508565	-0.247136
38	0.00224306	0.00510066	0.439758
39	-0.000500913	0.00507131	-0.0987738
40	-0.000296123	0.00455212	-0.0650517
41	-0.000870581	0.00425158	-0.204767
42	0.0044631	0.00473517	0.942543
43	0.000545225	0.00407563	0.133777
44	-0.000940475	0.00470103	-0.200057
45	0.000481396	0.00460686	0.104496
46	-0.000540064	0.00472992	-0.11418
47	-2.86166e-005	0.00480802	-0.00595185
48	0.00874991	0.00432874	2.02135
49	-0.000427364	0.00483133	-0.0884566
50	-0.00161695	0.00463027	-0.349212
51	-0.000908405	0.00514298	-0.17663
52	0.000797385	0.004802	0.166053
53	-0.000868867	0.00458768	-0.189391
54	-0.000414236	0.00521107	-0.0794915
55	0.000335372	0.00538502	0.0622787
56	-0.000447502	0.00429897	-0.104095
57	0.00301758	0.00466929	0.646261
58	-0.000730238	0.00446174	-0.163667
59	-0.00123098	0.00461924	-0.26649
60	-0.000299405	0.00476832	-0.0627904
61	-0.000662048	0.00430181	-0.1539
62	-0.00196175	0.00470728	-0.416748
63	-0.000494134	0.00469895	-0.105158
64	-0.000684883	0.00461628	-0.148363
