Cohort	N	Me	chisq	h2	chisq	h2[adjust_sex]
Barts	7699	51935.9967	1.116	0.794	1.2230	1.5222
Birmingham	19529	55594.9216	1.100	0.287	1.2102	0.6050
Bristol	39172	56774.8416	1.218	0.320	1.4353	0.6380
Bury	25404	55092.4145	1.154	0.338	1.3046	0.6686
Cardiff	16226	52069.3896	1.111	0.361	1.2325	0.7549
Croydon	18475	57405.4722	1.107	0.337	1.2260	0.7099
Edinburgh	15441	53041.7932	1.111	0.386	1.2156	0.7490
Glasgow	16299	51940.1701	1.156	0.502	1.2900	0.9351
Hounslow	18420	56773.3298	1.133	0.414	1.2382	0.7427
Leeds	39651	56474.8288	1.242	0.349	1.4597	0.6623
Liverpool	29604	54490.4477	1.183	0.341	1.3665	0.6826
Manchester	11502	53621.5281	1.099	0.468	1.1650	0.7782
Middlesborough	19819	53409.7873	1.133	0.362	1.2228	0.6074
Newcastle	34663	54675.7131	1.179	0.286	1.3564	0.5686
Nottingham	30760	56132.0762	1.173	0.319	1.3407	0.6287
Oxford	12260	55143.1405	1.072	0.328	1.1345	0.6112
Reading	25886	58027.4726	1.109	0.247	1.2400	0.5440
Sheffield	27745	55244.0052	1.145	0.293	1.3013	0.6069
Stoke	18211	51302.5758	1.114	0.326	1.2534	0.7220
