Chr	M	Me	chisq	h2
1	32913	7204.5646	1.0755	0.0448
2	33622	6403.3527	1.0321	0.0170
3	28040	5839.5143	1.0861	0.0414
4	26836	5632.8855	1.0545	0.0253
5	25243	5368.6945	1.0443	0.0196
6	30405	857.1236	1.3061	0.0217
7	23260	5020.425	1.0346	0.01433
8	21530	3909.6782	1.0736	0.0237
9	18799	4277.3328	1.0470	0.0166
10	21313	4328.9556	1.0324	0.0116
11	20746	3269.6384	1.0349	0.0094
12	20194	4213.4118	1.0714	0.0248
13	14769	3508.2313	1.0363	0.0105
14	13741	3106.6733	1.0716	0.0183
15	13502	2872.9585	1.0998	0.0236
16	14848	3146.7089	1.0180	0.0047
17	14267	1796.0199	1.0360	0.0053
18	12880	3243.4674	1.0560	0.0150
19	12394	2346.5845	1.0938	0.0182
20	11181	2683.5395	1.0824	0.0182
21	6532	2683.5395	1.0076	0.0017
22	7087	1597.1183	1.0161	0.0021
