GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,地址,邮编,关键词
30.2494153927,120.2044815102,30.2469964281,120.2090251722,30.253082,120.21551,浙江省杭州市江干区,-,杭州
29.8630445108,121.6201646436,29.8604208633,121.6242576946,29.866069,121.630844,浙江省宁波市江东区,-,宁波
30.0327510816,120.5749318967,30.0301226284,120.5790142188,30.03637,120.585477,浙江省绍兴市越城区曲屯路157,-,绍兴
29.9875469699,122.2028301266,29.9851634456,122.2070090082,29.990911,122.213557,浙江省舟山市定海区海天大道681号,-,舟山
27.9981141016,120.6959524539,27.9948269205,120.6999972251,28.001086,120.706479,浙江省温州市鹿城区一号横街后,-,温州
28.6588885244,121.4165747076,28.6559464981,121.4210057169,28.662193,121.427432,浙江省台州市椒江区白云山中路233号,-,台州
28.9729624666,118.855210155,28.9698980664,118.8600059447,28.975546,118.866597,浙江省衢州市柯城区三江东路,-,衢州
29.0812684354,119.6423061308,29.0782820152,119.6469946322,29.08464,119.653441,浙江省金华市婺城区双龙南街801号,-,金华
30.8950975113,120.0831137141,30.8930537491,120.0879792413,30.898964,120.094518,浙江省湖州市吴兴区仁皇山路,-,湖州
28.4709210157,119.9185839068,28.4675162385,119.9229827296,28.473278,119.929571,浙江省丽水市莲都区花园路,-,丽水
30.7473413022,120.7526834145,30.7450453876,120.7569964066,30.750974,120.763549,浙江省嘉兴市南湖区广场路1号,-,嘉兴
